start	end	text
0	19000	y
30000	55000	Bueno, muy bien amigos, vamos a ir comenzando con este taller.
55000	62880	El objetivo de nosotros es simple, los que estamos acá, estamos acá porque queremos
62880	69160	ganar dinero, no nos vamos a engañar, nadie está aquí porque quiera perder, es que es
69160	75080	la verdad, o sea, nadie está aquí porque quiera perder, entonces lo primero que tengo
75080	83960	que hacer es ganarme su confianza, a medida que lo logre, vamos a hablar en un mismo idioma,
83960	91560	entonces para los que ya me conocen, ya saben que yo prefiero decir una verdad que duela
91560	98260	que una mentira que te dé esperanzas, de acuerdo, entonces tratemos de tener la mente
98260	108720	abierta a lo que viene y si hay algún maximalista de bitcoin que dice que no se vende, está
108720	116960	bien, pero aquí nosotros sí vendemos cuando tenemos un patrón de venta porque de lo contrario
116960	122840	no hay manera de tener dinero para recomprar, en mi caso, pero si hay alguien que tenga
122840	132000	capital bastante, entonces no hay problema, puede nunca vender, de acuerdo, bien, los
132000	143520	que estamos en línea los veo ya en el chat, no se escucha bien, Sebas, se escucha mal
143520	151320	dice, yo los estoy leyendo, de acuerdo, voy a estar pendiente de ustedes, mientras tanto
151320	155920	los que están en línea, escribanme si me están escuchando bien porque si no no voy
155920	169520	a comenzar, ahí, si, bien, amigos los que están en línea por favor me confirman que
169520	175640	me escuchen bien, ahora si un poquito mejor o no, alguien le dice presión F5 actualiza
175640	186200	la página, que más, bien, listos, en línea podemos llevar quizás un desfase o un delay
186200	191160	de unos quizás tres segundos, pero eso no va a ser la diferencia que los que están
191160	200600	en presencial, ok, ángel dice que se escucha bien, Brian te veo por ahí, cuando estemos
200680	211680	de acuerdo en lo que conecto el equipo, todo ok, se escucha mucho mejor, ok, listo, bien,
211680	216920	en sus mesas o los que están en línea tienen un documento que yo preparé para ustedes,
216920	222560	ese es el que vamos a trabajar, es decir, a diferencia del año pasado, hoy lo traemos
222560	230520	por escrito para que los patrones de entrada los lleve ahí, lo que voy a hacer yo es explicarlo,
230520	237520	y lo vamos a practicar juntos, idealmente deberíamos de ir en ese orden, pero como
237520	242920	les estuvimos enviando los documentos, los PDF, los que están en línea y ustedes que
242920	251440	lo tienen por escrito y también lo tienen en PDF, verdad, lo revisaron, o lo podemos
251440	260440	repasar aquí, yo no tengo problema, va ok, pero un poquitito, rapidito, vamos a hacerlo,
261320	266920	el objetivo es ganar dinero, pero quiero aprovechar para explicar la diferencia, porque mucha gente
266920	274240	me confunde, ganar dinero con hacer crecer un capital, yo me comprometo a ayudarles a
274240	280040	hacer crecer un capital, a partir de que ustedes tienen algo, no, pero si no tienen nada,
280040	284520	que me la ponen bien difícil, porque yo no sé hacer dinero así de la nada, o sea yo
284520	290160	hice un poquito trabajando en la empresa privada y de ahí comencé a crecer, pero
290160	295720	si no tienen nada, o sea estamos a cero, yo no sé hacer eso, ¿no? porque hay que ser
295720	303080	sincero, yo no sé cómo es ganar dinero de la nada, pero si usted tiene un poco, a partir
303080	308640	de ahí se lava y lo hacemos crecer, si usted aplica bien lo que le voy a enseñar, la probabilidad
308640	319360	de que pierda es bastante baja, sí, esa es la diferencia, todos ustedes ya se conectaron
319360	329480	a la red, ya están en trading view, ya están ready, o sea que solo yo, y veo bastantes
329480	338360	cargas conocidas de la vez pasada, sí, firmes, firmes, ¿en qué precio estábamos la última
338360	353640	vez que estuvimos aquí, 29 mil, ¿verdad?, no hay más hay nada, bueno y vendieron con
383640	404360	ayer estaba hablando de eso, y miren donde vaya, uy que paso aquí, yo ya lo veo bien
404360	415000	aquí, 65 mil, sí, sí, correcto, ese es el análisis a corto plazo que dejé ayer,
415000	420000	pero nosotros no comenzamos por aquí, comenzamos por la parte un poquito aburrida, entonces
420000	423960	las primeras cuatro horas quizás van a ser un poquito aburridas, pero son necesarias
423960	429800	para que después cuando veamos esto, usted lo vea sin que, o sea vamos a ver lo mismo,
429800	434080	cuando yo esté viendo esto, usted aunque esté en su casa, usted va a ver lo mismo,
434080	441800	lo mismo que yo, ese es el objetivo y no vamos a tener dudas, lo que no sabemos al final
441800	448600	es el nivel de acierto que vayamos a tener, el control emocional psicológico de cada persona
448600	463840	es diferente al mío, entonces ese sí hay que trabajarlo por cuenta propia, yo lo tengo
463840	474320	aquí, vamos a comenzar entonces, en línea todo bien verdad, hey pero que no sean tan
474320	502240	delicados los que están en línea, sí, como van, los leo,
503080	514400	quiero, ese documento ustedes lo tienen y los que están en línea también, miren si eso no se
514400	522600	entiende, allí no vamos a quedar y no vamos a avanzar, esa cosa resume como siete años que
522600	530640	tengo yo en el mercado, yo lo hice y lo compartí con ustedes porque eso, si eso no se hace bien,
531120	539280	aunque usted maneje mi estrategia va a perder, entonces se supone que ustedes ya lo tienen,
539280	541800	pero si no, es que yo me lo moví un poquito acá,
541800	563760	bien miren, este cuadrito refleja gestión del riesgo, refleja el capital, en qué billetera
563760	571480	vamos a guardar ese dinero y en qué temporalidad vamos a trabajarlo con intenciones de ganar,
571800	579720	yo sé que parece simple, pero no es tan simple, vamos a ir despacito, este es un gráfico mensual,
581560	587760	lo vamos a mantener a muerte como dicen los holders, básicamente enterrado en una billetera
587760	597040	fría allí donde solamente usted y la persona de su confianza sepa, nunca se vende, 40% de capital,
