start	end	text
0	3780	Estrategia que utiliza Jaime de Trading Latino
3780	11000	Voy a tratar de explicarla de manera bastante sencilla, que te resulte fácil y que quede lo más completa posible
11000	13960	Ya que yo también utilizo la misma estrategia que utiliza él
13960	17840	Y si es una estrategia con pautas, con entradas, salidas, etc etc
17840	21520	En la que utilizamos los cinco indicadores que vemos aquí en pantalla
21520	23120	Medias móviles
23880	26840	El área de volumen importante, el ADX y el Squisk
26840	33280	Si tú todavía no has puesto los indicadores estos, de acuerdo, te he dejado un tutorial de cómo ponerlos de manera gratuita
33280	35880	Por aquí arriba lo tendrás, ve corriendo a verlo
35880	40680	Y después te vienes a ver este vídeo en el que voy a explicar la estrategia que utiliza Jaime de Trading Latino
40680	42000	Por cierto, no me he presentado
42000	43280	Bienvenidos al canal de Don Cash
43280	45240	Yo soy Yosu, tu capitalista de confianza
45240	45760	¡Ey!
45760	48880	Olvidé decir dos cosas muy importantes para la estrategia
48880	53440	La primera es que si tú no tienes ningún conocimiento de trading, de gráficos y demás
53440	55880	No te vas a aclarar nada en este vídeo
55920	60600	Así que haré un vídeo de trading básico para principiantes para que puedas entender un poco de todo esto
60600	61840	Y después venirte a este vídeo
61840	64360	Lo dejaré por aquí, en cuanto lo tenga hecho os aparecerá por aquí arriba
64360	67920	Hacéis click y después de ver ese vídeo y entenderlo os venís a este
67920	69560	De acuerdo, si no no vas a entender nada
69560	72760	Y la segunda cosa te la digo a continuación, que sí que la dije en el vídeo
72760	73960	Y es la más importante
73960	74520	Let's go
74520	78800	Y lo más importante que os quiero decir, de acuerdo, antes de que empecéis a estudiar la estrategia
78800	80440	No es por nada, pero es que es así
80440	85680	Lo más importante es la psicología del trader, eso es lo más importante por encima de todo
85720	87280	Y aplicarla a la estrategia
87280	90880	Por eso os recomiendo 100% que sigáis a diario
90880	93360	Que se analicéis con esta estrategia que os voy a enseñar en el vídeo
93360	95960	Sigáis a diario y comparéis vuestros análisis
95960	98960	Con los que pueda hacer a diario, por ejemplo, pues Jaime de Trading Latino
98960	101320	O otro youtuber que utilice su estrategia que te guste
101320	104280	O yo en este caso, por ejemplo, que en este canal la vamos a utilizar
104280	107680	Y la estamos utilizando y hacemos análisis diario todos los días
107680	110080	Y viendo a diario los análisis que hace Jaime de Trading Latino
110080	111120	El youtuber que te guste
111120	112160	O yo en este caso
112160	114160	Si es que te gusto, me sos rojo, por favor
114200	115880	En serio, vamos a comenzar
115880	118880	Vamos a empezar explicando las medias móviles, ¿de acuerdo?
118880	124760	Ya sabéis que tenemos medias móviles de 10 periodos y 55 periodos son las que utilizamos
124760	129040	Yo la azulita, la que va pegada al precio es la de 10 periodos, esta que vemos por aquí, ¿de acuerdo?
129040	130400	Es la línea esta azul
130400	134800	Y la de B y la de 55 periodos, perdón, es esta que va más despegada al precio
134800	137080	Son E+, ¿de acuerdo? Medias móviles exponenciales
137080	140320	Pero con eso no vamos a entrar en detalles, lo que os tiene que interesar es esto
140320	142720	Bien, vamos a explicar lo sencillo que es
142720	144360	Cuando la media de 10 periodos
144360	148040	Vale, esto es un gráfico diario, importante la temporalidad en la que estéis operando
148040	149800	Gráfico diario es este, ¿vale?
149800	154480	Cuando la media de 10 periodos está por encima de la de 55, que es la marrón
154480	158160	Significa que es alcista, ¿de acuerdo? Movimiento alcista
158160	161000	Aquí lo tenéis, aquí lo tenéis, aquí lo tenéis, ¿vale?
161000	166400	Cuando está por debajo la media de 10 periodos de la de 55, es decir, está por debajo de esta
166400	168200	Significa que el movimiento es bajista, ¿vale?
168200	170760	Aquí tenéis la caída, aquí lo tenéis, aquí lo tenéis
170760	173000	Media por encima, el precio subiendo
