start	end	text
0	9400	Amigos en vivo, solamente voy a, si tuve problemas, bueno que ahorita no me escucha
9400	15960	nadie igual, no hay nadie conectado, no, obviamente, pero no voy a poner pantalla de intro.
20160	22000	Vámonos de una, porque
22000	39040	a ver, si, ah, pero se ve bastante pixeleado, ah, va, ahí quedó bien ya.
43280	46240	Ok, listo, ahora vámonos para acá.
52000	60080	Listo, ya estoy en, ya estoy en vivo.
62640	70840	Miradme allí, Raúl, yo creo que ya, yo lo estoy revisando y ya estamos perfectamente bien,
70840	76000	solo espero a la gente que se vaya conectando y voy platicando con ellos.
76000	83600	Ya estoy totalmente en línea, Raúl, si quieres, les mandas el nuevo link,
83600	90640	lastimosamente parece que el OBS tenía un problema, un update allí o algo así.
90640	109120	Bueno, yo me quedo esperando acá, vamos al chat.
120640	148760	Ok, este lo voy a dejar pineado, dejar mensaje, listo.
150640	156080	Ok, ya vamos a ver cómo recuperamos el tiempo.
162080	171480	Pues yo voy a estar dándole seguimiento para verificar que se vea y se escuche bien.
171480	177520	Sí, dos segundos de retraso, creo que está normal.
177520	181560	A ver si alguien se conecta.
187720	190760	Jóvenes, alguien que se conecte.
194880	198400	Me siento solo, me siento triste.
201760	204520	Que raro, bueno, que la verdad siempre hablo solo.
208200	210960	Que raros haciendo transmitir sin que nadie me esté escuchando.
211920	213360	Que sea uno, me conectes.
215480	217080	No hay ni un alma aquí.
218360	218880	Coño.
224000	225360	Bueno, si hay uno, sea yo.
230840	234080	Alguien, hay alguien aquí con vida.
234080	238720	Hay alguien aquí con vida.
242720	244800	Hay alguien aquí con vida.
247880	248680	Jóvenes.
251560	253800	Hay alguien aquí con vida.
257720	259040	Me siento solo.
261720	262640	Triste.
265080	266840	Uy, ya me están escuchando.
269200	273760	No, es que estaba, me dio problemas el OBS.
275360	279560	Entonces estaba platicando conmigo mismo porque estaba totalmente solo.
281120	285120	Y yo estaba poniendo, hay alguien aquí con vida y me contestó Jesús Rivas.
286040	291200	Yo me pones, joder, bueno, pero qué bueno que ya vienen llegando.
291200	293600	Vamos a esperar un poquitito los demás.
294800	297640	Mientras tanto, los voy leyendo en el chat.
299400	303000	Voy a quitar mi propia transmisión para que no me vaya a dar.
305120	306160	Como un loop.
308080	311840	Qué más, ah, vámonos al gráfico, los voy a ir cargando.
313560	315000	Mientras se van conectando los demás.
317200	321800	Miren, lastimosamente, cuando comencé el streaming,
322280	326400	yo ya les estaba explicando la cosa, el demonio este que era para abajo,
326400	328440	allí donde está, o sea, esto.
329920	334200	Otra vez esto, esto que está aquí del movimiento.
334560	338920	Es que estuve platicando yo solo y después me di cuenta
338920	342000	que nadie me estaba escuchando, pero el punto es el siguiente.
343760	347400	No venimos directamente a hacer un análisis del mercado aquí,
347400	350920	si no venimos a poner en práctica lo que aprendimos.
352120	358920	En el taller, entonces esas preguntas que ustedes tienen
359600	364400	son un resultado de lo que estuvieron practicando y que ahora surgieron,
365040	367960	porque uno a veces en los talleres entiende todo,
367960	372920	pero ya cuando estás solo por las noches no hay que hacer porque tiene dudas.
373240	379760	Entonces, las dudas que usted tenga hoy las vamos a resolver.
380600	383720	Digamos, ¿cuánto tenemos de haber finalizado del 3 al 4?
383720	388480	Y ahí tenemos unos 12 días más o menos, una dos semanas,
388480	391840	digamos, desde que terminamos el taller.
393200	394840	¿Qué dudas tiene usted?
394840	397440	Ha practicado un poco así de las siete lenguas.
397440	400520	Pues si te estaba contando, hombre.
400520	404720	A mi amigo Marco le estaba contando sobre la botella esta de las siete
404720	411680	lenguas que me regaló y yo iba de platicar con Marco y después me di cuenta
411680	416000	que solo se miraba el circulito.
417080	422200	En fin, lo que te estaba comentando sobre la botella es que yo honestamente
422200	423800	no la he probado todavía.
423800	426720	Esa siempre la guardo para diciembre.
427760	434520	Porque yo tengo hígado graso, entonces, o sea, nada grave.
434520	437600	Yo creo que al final todos quizás tenemos un poquito de hígado graso,
437600	440320	o sea, los que somos algo sí panzoncitos.
440320	446480	Y la botella va a ir a parar al hígado, de acuerdo?
446480	450200	Creo que es el 80 por ciento al hígado y el otro 20 por ciento por la orina.
450400	453000	Así que no quiero líos por el momento.
453920	456320	No le he probado todavía. Esa es la verdad.
456320	458360	Se corta de repente, dicen aquí.
459280	464720	Pero miren, de hecho, yo cuando entré vi que se miraba un poquito pixelado.
464720	468200	De ahí solo le di la ruedita y seleccioné 720p.
468200	473080	O sea, HD.
473080	477040	También lo pueden ver en Full HD si lo ponen en 1080.
477040	479120	Ese es el Full HD.
479120	483400	Amigos, vamos siete lenguas a niego.
483400	485320	Sí, sí, sí.
485320	486520	O sea, está bueno.
486520	487720	¿Qué es el OBS?
487720	490360	Es el software que utilizo para hacer las transmisiones,
490360	492200	para poder hacer estas escenas.
492200	495960	Ven, por ejemplo, cambio de esta cámara a esta otra
495960	497720	y con fondo de pantalla.
497720	498960	Ese es el software.
498960	503040	Por alguna razón me estaba detectando una velocidad que yo no tengo.
503040	507640	Yo tengo buena velocidad, pero me estaba poniendo una velocidad diferente.
507640	509760	No sé por qué hizo eso.
509760	512120	Yo ya lo cambié, lo modifique y ya está.
512160	513720	Bien, amigos, vamos.
513720	515760	Yo creo que ya les dimos tiempo a los demás, ¿no?
515760	517080	Que se vayan conectando.
517080	522280	Vamos con esas dudas que ustedes puedan tener de lo que sea.
522280	526600	Porque cuando nosotros estuvimos allá, estuvimos hablando,
526600	531280	bueno, con los del VIP hablamos un poco de DeFi y hablamos de minería.
531280	537520	Que son dos temas que no tratamos en el general, digamos.
537520	540680	Entonces, vamos a ver.
540760	545760	Entonces, si tienen dudas sobre eso, podemos platicarlo también ya.
545760	548640	Que estamos, ¿cuántos somos?
