start	end	text
0	20480	muy bien amigos buenas tardes a todos día sábado 16 de marzo del 2024 los que estamos
20480	26040	aquí somos los que somos es decir que si usted en este momento ve probablemente estaremos
26040	34000	no sé unas 400 o 500 personas conectadas en esta clase que vamos a tener mientras que
34000	42160	a veces en youtube habemos 5.000 cuál es la diferencia que los que están aquí bueno
42160	49600	algunos no han podido estar por sus trabajos me imagino no pero la diferencia entre el que
49600	57360	quiere aprender y el que quiere saber qué hacer es decir el que quiere que le den el pescado frito
57360	63160	y ya masticado es el que tenemos en youtube quiere saber si va a subir o va a bajar y punto
64440	71360	y los que estamos aquí somos los que queremos aprender de acuerdo yo siempre soy partidario
71360	80480	a aprender para no depender de acuerdo así que quiero agradecerles por la confianza primero por
80480	87560	por permitirme a mí enseñarles independientemente de que sea gratis o no importa yo creo que el
87560	93080	tiempo que ustedes van a dedicar conmigo esta tarde la vamos a saber aprovechar perfectamente
93080	101240	bien actualmente el chat está activo yo puedo ver los comentarios que ustedes están dejando
101400	109200	sin embargo recuerden que voy a tratar de cubrir el contenido y vamos a tener un momento para
109200	116080	responder las preguntas sobre los temas que vamos a ir estudiando otro punto importante recordar que
116080	124280	nosotros vamos de cero a básico en orden de acuerdo yo ya tengo desde lo más importante
124280	130360	hasta lo menos importante en 10 puntos a tratar para eso tengo dos horas para poderlo hacer
130760	136520	entonces les agradecería mucho si ustedes me confirman que se escucha bien para comenzar con
136520	149280	el tema de acuerdo sólo díganme que me escuchan bien y comenzamos la clase queda guardada es
149280	155600	hay un moderador ahora sí hay un moderador en el chat que creo que nos va a ayudar a responder
155600	162320	a ese tipo de preguntas porque esto es en colaboración con talent academy vienen de la
162320	170440	mano de las mismas personas que hacen talent network o no se llama de los de talent la nombre
170440	176600	para los que son de méxico ustedes saben que la vez pasada estuve con ustedes en el 2023 entonces
176600	183680	es como un par de uno estoy hoy están los de talent academy y entre los dos estamos dando esta
183680	189620	clase de acuerdo entonces dicen que se escucha bien vamos a comenzar entonces de preferencia si
189620	197880	usted tiene algo donde usted pueda practicar sería bueno si no pues primero ponga atención
199120	209040	no sólo vaya a dedicarse a escuchar es decir a oír porque usted oye todo oye un pajarito que
209040	216560	canta oye a su hijo molestando lo es lo oye todo porque aunque no quiera lo oye porque tiene oídos
216560	224580	yo quiero que por favor estas dos horas se las tome en serio y me escuche porque cuando
224580	232640	usted escucha está prestando la atención de acuerdo mire bien nosotros vamos a marcar un
232640	245920	objetivo es simple el objetivo de nosotros es ganar dinero así de simple
248320	257000	no hay más para eso vamos a aprender lo siguiente ganar dinero es una cosa y multiplicar dinero es
257000	266920	otra cosa entonces yo le voy a enseñar a hacer lo que sé hacer porque tengo como demostrarlo yo
