start	end	text
0	2000	Gracias por ver el vídeo.
2000	4000	Suscríbete al canal.
30000	32000	Suscríbete al canal.
60000	62000	Suscríbete al canal.
90000	92000	Suscríbete al canal.
120000	122000	Suscríbete al canal.
150000	152000	Suscríbete al canal.
180000	182000	Suscríbete al canal.
210000	212000	Suscríbete al canal.
240000	242000	Suscríbete al canal.
270000	272000	Suscríbete al canal.
300000	302000	Suscríbete al canal.
330000	332000	Suscríbete al canal.
360000	362000	Suscríbete al canal.
390000	392000	Suscríbete al canal.
420000	422000	Suscríbete al canal.
450000	452000	Suscríbete al canal.
480000	482000	Suscríbete al canal.
510000	512000	Suscríbete al canal.
540000	542000	Suscríbete al canal.
570000	572000	Suscríbete al canal.
600000	602000	Suscríbete al canal.
630000	632000	Suscríbete al canal.
660000	662000	Suscríbete al canal.
690000	692000	Suscríbete al canal.
720000	722000	Suscríbete al canal.
750000	752000	Suscríbete al canal.
780000	782000	Suscríbete al canal.
810000	812000	Suscríbete al canal.
840000	842000	Suscríbete al canal.
870000	872000	Suscríbete al canal.
900000	902000	Suscríbete al canal.
930000	932000	Suscríbete al canal.
960000	962000	Suscríbete al canal.
990000	992000	Suscríbete al canal.
1020000	1022000	Suscríbete al canal.
1050000	1052000	Suscríbete al canal.
1080000	1082000	Suscríbete al canal.
1110000	1112000	Suscríbete al canal.
1140000	1142000	Suscríbete al canal.
1170000	1172000	Suscríbete al canal.
1200000	1202000	Suscríbete al canal.
1230000	1232000	Suscríbete al canal.
1260000	1262000	Suscríbete al canal.
1290000	1292000	Suscríbete al canal.
1320000	1322000	Suscríbete al canal.
1350000	1352000	Suscríbete al canal.
1380000	1382000	Suscríbete al canal.
1410000	1412000	Suscríbete al canal.
1440000	1442000	Suscríbete al canal.
1470000	1472000	Suscríbete al canal.
1500000	1502000	Suscríbete al canal.
1530000	1532000	Suscríbete al canal.
1560000	1562000	Suscríbete al canal.
1590000	1592000	Suscríbete al canal.
1620000	1622000	Suscríbete al canal.
1650000	1652000	Suscríbete al canal.
1680000	1682000	Suscríbete al canal.
1710000	1712000	Suscríbete al canal.
1740000	1742000	Suscríbete al canal.
1771000	1773000	Perfecto amigos, buenas noches a todos.
1773000	1777000	Vamos comenzando. Por favor, me confirmen en el chat si me escuchan bien.
1777000	1779000	¿Si? ¿Si me escuchan bien?
1779000	1781000	Yo creo que si. Yo creo que si.
1781000	1784000	En el chat ya les estuve leyendo, les he estado contestando.
1784000	1787000	Algunos quieren ir a la iglesia, otros son budistas.
1787000	1789000	Por ahí, de todo, ¿no?
1789000	1792000	Aquí la cuestión es que tratemos de aprender todos.
1792000	1796000	Miren, con lo que me están preguntando, que si...
1797000	1801000	Que con esto, con el DeFi, las oportunidades que hay en el DeFi.
1801000	1803000	Yo de hecho puse un tweet la vez pasada.
1803000	1808000	No sé si ustedes me siguen en Twitter o en X.
1808000	1812000	Pero yo les puse ahí que yo había puesto 10.000 dólares.
1812000	1817000	Porque estaban dando como 40 y no me cuento de APY.
1817000	1819000	En A a D.
